domain,cell,text_excerpt,llm_label,llm_confidence,llm_reasoning,evidence,human_label
cumbetter.nl,keep,cumbetter cumbetter biedt ondersteuning bij: vruchtbaarheid man verbeteren. zodat u en uw partner uw wens kunnen vervullen. cumbetter verhoogt de spermaproductie. meer sperma en meer zaadcellen zorgen voor een grotere kans op bevruchting. cumbetter stimuleert een goede kwaliteit sperma. een goede kwaliteit sperma bevordert een gezonde bevruchting. vruchtbaarheid is de basis voor het kunnen krijgen,drugs,0.95,"The site promotes a tablet-based supplement to improve male fertility and sperm quality, available without prescription.","""cumbetter kan de vruchtbaarheid van de man stimuleren door middel van een tablettenkuur. de tablettenkuur van cumbetter is zonder doktersrecept verkrijgbaar.""",
juicyclear.com,keep,"juicyclear double sale forever! from now on if you order over $99 in e-juice we will double your e-juice order. vaping just got a lot less expensive! canada’s only 100% mtl store what is mtl? mtl (mouth to lung) is a form of vaping that most closely matches cigarette smoking, where the vapor is drawn into the mouth first, then inhaled into the lungs. what makes jc classic the best mtl e-juice? des",drugs,0.95,"The site sells e-juice for vaping, which is a tobacco-related product.",if you order over $99 in e-juice we will double your e-juice order. vaping just got a lot less expensive! ... we have the most popular tobacco flavours.,
rxed.info,keep,"rxed contact me! leave me a note and i will get back to you - 916 224 6981 - brad@rxed.net - 340 arthur ave aptos, ca 95003 rxed.net is the author of two books regarding prescription drug abuse and addiction. brad is a public speaker and an advocate for education, awareness and reform of the opioid epidemic and addictive behavior. his family’s darkest moments lead to a passion to help others bette",drugs,0.95,"The site is focused on education and advocacy regarding prescription drug abuse and addiction, specifically opioids.","""rxed.net is the author of two books regarding prescription drug abuse and addiction. brad is a public speaker and an advocate for education, awareness and reform of the opioid epidemic and addictive ",
high-supplies.com,keep,high-supplies english shopping cart no products to be determined shipping € 0 total product successfully added to your shopping cart number of seeds: quantity: total: there are 0 items in your cart. there is 1 item in your cart. total products total shipping to be determined total continue shopping proceed to checkout - premium- quality - delivery- fast & anonymous - free- shipping search products,drugs,0.98,"The site is an online shop selling cannabis seeds, discussing cannabis culture, and offering various types of marijuana seeds for cultivation.","""high supplies has been cultivating a love for cannabis culture as well as cannabis seeds. we offer over 50 different varieties of marijuana seeds.""",
viagrasuperactive.com,keep,"viagrasuperactive | buy viagra super active onlinelooking for viagra super active (sildenafil) to treat erectile dysfunction? buy cheap generic viagra super active online without prescription and with free shipping. while pfizer with viagra was the first to use ""sildenafil"" in its viagra pills, there were generic producers to firstly make viagra super active and give the power of sildenafil in an ",drugs,0.98,The site is dedicated to selling Viagra Super Active (sildenafil) and other sexual health drugs.,"buy viagra super active (sildenafil) to treat erectile dysfunction... order viagra super active online... plus also kamagra super active, cialis super active and levitra super active",
ganja-seeds.com,keep,ganja-seeds fatal error: uncaught error: class 'plplinkcategoriescontroller' not found in /home/ganjaseeds/public_html/wp-content/plugins/pretty-link/app/controllers/prlilinkscontroller.php:102 stack trace: #0 /home/ganjaseeds/public_html/wp-includes/class-wp-hook.php(303): prlilinkscontroller->register_post_type('') #1 /home/ganjaseeds/public_html/wp-includes/class-wp-hook.php(327): wp_hook->appl,drugs,0.9,"The domain name and partial content suggest the site is about cannabis seeds, which are related to recreational drugs.","""ganja-seeds""",
growkind.com,keep,growkind growkind has been helping people learn to grow marijuana and then share pictures of their marijuana gardens since 1997. this site was born out of a love for marijuana. we are excited now that the us is starting to realize that this wonderful plant has been unnecessarily repressed for far too long. we welcome you on your journey of discovery of this wonderful plant. our featured attraction,drugs,0.95,"The site is dedicated to helping people grow marijuana, share pictures of marijuana gardens, and provides marijuana recipes.",growkind has been helping people learn to grow marijuana and then share pictures of their marijuana gardens since 1997.,
whyquit.com,keep,"whyquit motivation, education & support we died young · bryan lee curtis - age 34 · noni glykos - age 33 · quentin delgado - age 23 · famous victims - under 60 · our family member died young · your story · noni glykos - age 33 · quentin delgado - age 23 · famous victims - under 60 · our family member died young · your story why we died young · nicotine addiction 101 · why do people continue to smo",drugs,0.95,"The site is focused on tobacco and nicotine addiction, health consequences of smoking, and quitting smoking.","""nicotine addiction 101 ... why do people continue to smoke? ... smoking's health consequences ... how tobacco destroys the body ... more truth about tobacco""",
sildenafil.89.pl,keep,"sildenafil.89 <div align=""center""> <b>witamy. nasz system wykry³ ze twoja przegl±darka nie obs³uguje ramek</b><br> <h1> <a href=""http://www.pharmacywebsearch.com/search.php?aid=7719&keyword=buy+sildenafil&num=10&subaff=12""> >> buy sildenafil online now. buy cheap sildenafil online. buy sildenafil! << </a> - buy sildenafil online now. buy cheap sildenafil online. buy sildenafil!</h1> <p>darmowe ali",drugs,0.95,"The site is explicitly offering sildenafil for sale, which is a pharmaceutical drug.",buy sildenafil online now. buy cheap sildenafil online. buy sildenafil!,
hanfparade.ch,keep,"hanfparade hier findest du alles über hanf und cannabis. was ist medizinisches cannabis, was ist der unterschied zwischen thc und cbd und vieles mehr. interessante infos über cbd-hanf findest du beim cbd-ratgeber cbd-hanföl kaufen bei cbd-tropfen kann man cbd-hanföl kaufen der hanf-shop verkauft spezielles cbd-öl aus hanf. medizinisches cannabis hanf mit einem thc-gehalt von unter einem prozent wi",drugs,0.95,"The site provides information about cannabis, CBD, and related products, including medical and recreational uses.",hier findest du alles über hanf und cannabis. ... medizinisches cannabis ... cbd-hanföl kaufen ... der hanf-shop verkauft spezielles cbd-öl aus hanf.,
